lang,rare_mode,avg_len,entropy,unconditional_entropy,test_loss,test_acc,best_epoch,val_loss,val_acc,embedding_size,hidden_size,word2vec_size,nlayers,dropout
por,,5.659666460778258,0.8081238416081306,0.8081238416081306,0.4443405256038759,0.8780487804878049,23,0.2843675224677376,0.9254658385093167,116,35,1,2,0.24900673038790982
spa,,5.678959810874704,0.8795589611561756,0.8795589611561756,0.8030697667321494,0.8046511627906977,13,0.4905559069802316,0.8803827751196173,208,79,6,1,0.30737977040534636
ger_v,,4.759770114942529,2.323901047769409,2.323901047769409,1.504717016732821,0.6129032258064516,7,1.712890352521624,0.5357142857142857,221,177,15,1,0.20956341446069232
ger_n,drop,5.866449511400652,2.1731197713971913,2.881845377155586,1.5215601282795583,0.6509186351706037,10,1.4629986892089,0.6795580110497238,188,133,25,1,0.3568866012629416
ger_n,group,5.868542061130647,2.195603718314737,2.9054402181263455,1.5749984820891298,0.6814621409921671,8,1.5270001888275146,0.6831955922865014,106,207,20,1,0.4956721984979382
cze,drop,6.289670658682635,1.3506802710361239,2.747303418330281,0.4003361473229818,0.924187725631769,18,0.36557303869542274,0.8969465648854962,196,100,70,2,0.48409273819396575
cze,group,6.278545454545455,1.4913231102836453,2.8554979001054175,0.5525548195505475,0.8881118881118881,6,0.4502673775622393,0.8921933085501859,176,212,44,1,0.017166003836649513
ger_n-sing,drop,5.876607387140903,0.5822410438490896,1.1921076060843405,0.4794565914123039,0.8997289972899729,6,0.3541413839538019,0.9313186813186813,67,182,18,1,0.08800443313589301
ger_n-sing,group,5.878308321964529,0.6036696373427834,1.2160265332994615,0.534840202331543,0.8756756756756757,3,0.36106835358763395,0.9232876712328767,38,217,51,1,0.10059200028259246
ger_n-plural,drop,5.8746942103832565,1.842439179087376,2.279956068779931,1.259791171297114,0.7021276595744681,5,1.3117003322632845,0.6914600550964187,197,194,99,1,0.38581761932642794
ger_n-plural,group,5.8746942103832565,1.842439179087376,2.279956068779931,1.2897424038420333,0.6648936170212766,3,1.3278679276300855,0.6749311294765841,256,256,256,1,0
