lang,rare_mode,phoneme_id,phoneme,phoneme_len,target,predict,probabilities,phoneme_loss
ger_n,drop,2143,m e r k,4,1,1,0.626530468463898,0.674543797969818
ger_n,drop,3915,z w i t t e r,7,1,1,0.937921464443207,0.092461310327053
ger_n,drop,486,b u l l e,5,2,4,0.001956973224878,8.99716091156006
ger_n,drop,2748,q u e u e,5,14,4,0.001275951974094,9.61421012878418
ger_n,drop,282,b a l l o t,6,7,1,0.339468598365784,1.55864953994751
ger_n,drop,5,a b e n d,5,1,1,0.626614630222321,0.674349784851074
ger_n,drop,1391,k a m m,4,5,5,0.435956239700317,1.19774496555328
ger_n,drop,2655,p l e n u m,6,8,9,0.270742118358612,1.88500893115997
ger_n,drop,2058,m a r i n e,6,3,4,0.009728332981467,6.68359184265137
ger_n,drop,1928,l i t e r a t,7,2,1,0.333706706762314,1.58334720134735
ger_n,drop,3060,s c h l i p s,7,1,1,0.666942179203033,0.584366083145142
ger_n,drop,346,b e i z e,5,4,4,0.974942028522491,0.036611665040255
ger_n,drop,1256,i m m o b i l i e,9,0,3,0.002537594176829,8.62232303619385
ger_n,drop,2082,m a s k e,5,4,4,0.988028168678284,0.017375750467181
ger_n,drop,723,f a u s t,5,13,5,0.063949920237064,3.9669132232666
ger_n,drop,208,a s t,3,5,5,0.692250490188599,0.530633866786957
ger_n,drop,3339,s t e p p e,6,4,4,0.974878251552582,0.036705911159515
ger_n,drop,3506,t h o n,4,7,5,0.015718011185527,5.99143743515015
ger_n,drop,970,g i t a r r e,7,4,4,0.902017652988434,0.148772552609444
ger_n,drop,3859,z e l l e,5,4,4,0.993033766746521,0.010085062123835
ger_n,drop,202,a e s c h e r,7,1,1,0.91408896446228,0.129593744874001
ger_n,drop,1233,h y m n e,5,4,4,0.93798816204071,0.092358119785786
ger_n,drop,463,b r u d e r,6,6,1,0.069064892828465,3.85590314865112
ger_n,drop,2632,p i o n i e r,7,1,1,0.822847366333008,0.281303077936172
ger_n,drop,2770,r a n d,4,12,5,0.06836361438036,3.87062764167786
ger_n,drop,884,g e b u r t,6,4,4,0.472162991762161,1.08264315128326
ger_n,drop,373,b i n s e,5,4,4,0.992292404174805,0.011163049377501
ger_n,drop,3498,t h e i n,5,8,1,0.182377725839615,2.454998254776
ger_n,drop,392,b l u s e,5,4,4,0.980165481567383,0.028902715072036
ger_n,drop,2728,p u n c h,5,7,7,0.841028153896332,0.249773845076561
ger_n,drop,3856,z e i s i g,6,1,1,0.8702592253685,0.200482919812202
ger_n,drop,2996,s c h a u e r,7,1,1,0.714017510414124,0.485968619585037
ger_n,drop,3113,s c h r e i n,7,1,1,0.937936663627624,0.092437922954559
ger_n,drop,2858,r i e s e,5,2,4,0.184955790638924,2.43474769592285
ger_n,drop,1155,h i n d e,5,4,4,0.989567697048187,0.015129657462239
ger_n,drop,746,f e t u s,5,0,3,0.183189675211906,2.44858956336975
ger_n,drop,3127,s c h u p p e,7,4,4,0.979282140731812,0.030203592032194
ger_n,drop,296,b a e r,4,2,1,0.023498071357608,5.41131353378296
