lang,rare_mode,phoneme_id,phoneme,phoneme_len,target,predict,probabilities,phoneme_loss
ger_n,drop,1162,h i r s e,5,3,4,0.113854192197323,3.13474035263062
ger_n,drop,2429,o r c h i d e e,8,4,4,0.938213050365448,0.092012777924538
ger_n,drop,58,a l b i n o,6,7,7,0.483019471168518,1.04984676837921
ger_n,drop,884,g e b u r t,6,4,4,0.646615564823151,0.629019677639008
ger_n,drop,1815,l a c h s,5,1,1,0.80944812297821,0.304989546537399
ger_n,drop,332,b e c k e n,6,1,1,0.971858441829681,0.041181590408087
ger_n,drop,822,f r e u d e,6,4,3,0.166429162025452,2.58701968193054
ger_n,drop,1085,h a n t e l,6,4,4,0.837164521217346,0.256416827440262
ger_n,drop,2455,p a g i n a,6,14,4,0.015598297119141,6.0024676322937
ger_n,drop,1165,h i t z e,5,3,4,0.317338556051254,1.65590536594391
ger_n,drop,3059,s c h l i f f,7,1,1,0.868438363075256,0.203505009412765
ger_n,drop,970,g i t a r r e,7,4,14,0.378756195306778,1.4006587266922
ger_n,drop,721,f a s s,4,12,1,0.059112519025803,4.08039283752441
ger_n,drop,3782,w i d d e r,6,1,1,0.849567413330078,0.235199689865112
ger_n,drop,2197,m i s t e l,6,4,4,0.83290958404541,0.263768404722214
ger_n,drop,1371,k a l b,4,12,1,0.170901328325272,2.5487642288208
ger_n,drop,2530,p a t t e,5,4,4,0.910906970500946,0.134624570608139
ger_n,drop,832,f u c h s,5,5,1,0.303253442049026,1.72140395641327
ger_n,drop,773,f l a d e n,6,1,1,0.722829878330231,0.468271940946579
ger_n,drop,3828,x e n o n,5,8,8,0.363960176706314,1.45814728736877
ger_n,drop,1026,g r i p p e,6,4,4,0.796914398670197,0.327503114938736
ger_n,drop,3354,s t i p p v i s i t e,11,4,4,0.761642098426819,0.39281490445137
ger_n,drop,120,a n e m o n e,7,4,4,0.849161803722382,0.23588864505291
ger_n,drop,5,a b e n d,5,1,1,0.87652462720871,0.190133690834045
ger_n,drop,2194,m i s s i l e,7,7,7,0.417382627725601,1.26055729389191
ger_n,drop,24,a d r e s s e,7,4,4,0.994350254535675,0.008173990994692
ger_n,drop,3800,w i t w e,5,4,4,0.882753431797028,0.179917931556702
ger_n,drop,346,b e i z e,5,4,4,0.822995960712433,0.281042337417603
ger_n,drop,1993,m a c k e r,6,1,1,0.40684986114502,1.29743146896362
ger_n,drop,67,a l k a z a r,7,1,1,0.439007818698883,1.18768119812012
ger_n,drop,685,e s t r a g o n,8,8,1,0.236762166023254,2.07848930358887
ger_n,drop,2509,p a s s i v,6,1,1,0.392340391874313,1.34982216358185
ger_n,drop,2834,r e l i n g,6,14,4,0.001927956705913,9.01871109008789
ger_n,drop,727,f e g e f e u e r,9,8,1,0.217977449297905,2.197749376297
ger_n,drop,3713,w a c k e,5,4,4,0.762235820293427,0.391690820455551
ger_n,drop,2475,p a p p e l,6,4,4,0.98136305809021,0.0271409265697
ger_n,drop,3113,s c h r e i n,7,1,1,0.667776525020599,0.582562685012817
ger_n,drop,1259,i n d i g o,6,7,8,0.159283995628357,2.6503267288208
ger_n,drop,2728,p u n c h,5,7,7,0.746726334095001,0.421348541975021
ger_n,drop,3877,z i n k e,5,4,4,0.934085369110107,0.098373390734196
ger_n,drop,844,f u t t e r,6,8,1,0.056767635047436,4.13878774642944
ger_n,drop,3157,s e g e l,5,1,1,0.933787822723389,0.098833613097668
ger_n,drop,850,g a l e r i e,7,4,4,0.539711236953735,0.889740169048309
ger_n,drop,1233,h y m n e,5,4,4,0.94223827123642,0.085835851728916
ger_n,drop,1658,k o m m a,5,7,1,0.145741283893585,2.77851819992065
ger_n,drop,852,g a l l e,5,4,4,0.915192127227783,0.127853274345398
ger_n,drop,1177,h o l o g r a p h i e,11,4,4,0.758297622203827,0.39916381239891
ger_n,drop,2150,m e s t i z e,7,2,1,0.143659204244614,2.79927754402161
ger_n,drop,1519,k e t t e,5,4,4,0.958369493484497,0.061346210539341
ger_n,drop,3011,s c h e l m,6,1,1,0.716276347637177,0.481411755084991
ger_n,drop,1446,k a r r i e r e,8,4,4,0.788424670696258,0.342955082654953
ger_n,drop,3536,t o p i n a m b u r,10,7,1,0.048616923391819,4.36239719390869
ger_n,drop,3777,w e t t e r,6,8,1,0.102692365646362,3.28359889984131
ger_n,drop,2058,m a r i n e,6,3,4,0.067066080868244,3.89827251434326
ger_n,drop,3868,z i e l,4,1,1,0.49036905169487,1.0280601978302
ger_n,drop,166,a p p l a u s,7,1,1,0.392246067523956,1.35016918182373
ger_n,drop,1392,k a m m e r,6,4,4,0.961963474750519,0.055945955216885
ger_n,drop,3183,s e x,3,8,1,0.334782809019089,1.57870233058929
ger_n,drop,1640,k o l a,4,3,4,0.151930660009384,2.71851491928101
ger_n,drop,1726,k r a e h e,6,4,4,0.754435420036316,0.406530529260635
ger_n,drop,1653,k o m a,4,7,4,0.001672170474194,9.22406196594238
ger_n,drop,282,b a l l o t,6,7,7,0.539443910121918,0.890455305576324
ger_n,drop,2259,m o s t r i c h,8,8,1,0.192212000489235,2.37922954559326
ger_n,drop,3490,t e r r a k o t t a,10,10,4,0.014571685343981,6.10068798065186
ger_n,drop,603,d u n g,4,8,1,0.170047461986542,2.55599069595337
ger_n,drop,671,e r g e b e n h e i t,11,3,4,0.21858038008213,2.19376420974731
ger_n,drop,1933,l o c h,4,12,1,0.059898927807808,4.0613260269165
ger_n,drop,3852,z e h,3,11,1,0.026770897209644,5.22319030761719
ger_n,drop,3222,s l u m,4,7,7,0.642166554927826,0.638980567455292
ger_n,drop,21,a d e r,4,4,4,0.959887564182282,0.059062968939543
ger_n,drop,3856,z e i s i g,6,1,1,0.546186029911041,0.872535765171051
ger_n,drop,2427,o p u s,4,10,9,0.080579161643982,3.63344955444336
ger_n,drop,3060,s c h l i p s,7,1,1,0.51804119348526,0.948861300945282
ger_n,drop,2505,p a s s,4,5,7,0.070965975522995,3.81672883033752
ger_n,drop,2796,r a u p e,5,4,4,0.895622134208679,0.159037858247757
ger_n,drop,1813,l a b s k a u s,8,3,1,0.01979854516685,5.65846157073975
ger_n,drop,3172,s e n f,4,1,1,0.795968651771545,0.329216420650482
ger_n,drop,2632,p i o n i e r,7,1,1,0.406168162822723,1.29985105991364
ger_n,drop,2426,o p t i k,5,4,3,0.133497968316078,2.90511059761047
ger_n,drop,50,a k t i o n,6,4,4,0.957381010055542,0.062834896147251
ger_n,drop,1270,i n h a l t,6,1,1,0.672911942005158,0.571510374546051
ger_n,drop,2054,m a r g e,5,4,4,0.817571699619293,0.290582925081253
ger_n,drop,392,b l u s e,5,4,4,0.850255310535431,0.234031930565834
ger_n,drop,3381,s t r o b e l,7,1,1,0.726625800132751,0.460715383291245
ger_n,drop,3706,w a a g e,5,4,4,0.854234039783478,0.227296397089958
ger_n,drop,296,b a e r,4,2,1,0.00927972048521,6.75170230865479
ger_n,drop,2571,p f e i l e r,7,1,1,0.921509742736816,0.117928504943848
ger_n,drop,533,d a r m,4,5,1,0.117559313774109,3.08853912353516
ger_n,drop,425,b o u r g e o i s i e,11,4,4,0.895038306713104,0.159978941082954
ger_n,drop,954,g e w i r r,6,8,1,0.107338406145573,3.21976184844971
ger_n,drop,1581,k l i n g e,6,4,4,0.92844569683075,0.107110790908337
ger_n,drop,3474,t e i l k a s k o,9,7,1,0.092413939535618,3.43574595451355
ger_n,drop,2756,r a b e,4,2,1,0.297474473714828,1.74916219711304
ger_n,drop,2160,m e t r o p o l e,9,4,4,0.372874349355698,1.42323863506317
ger_n,drop,1089,h a r f e,5,4,4,0.818941056728363,0.288168609142303
ger_n,drop,147,a n t h r o p o g e n i e,13,4,4,0.752798855304718,0.409663707017899
ger_n,drop,1155,h i n d e,5,4,4,0.840668499469757,0.250390917062759
ger_n,drop,1087,h a r e m,5,7,7,0.596402227878571,0.745642483234406
ger_n,drop,3774,w e s p e,5,4,4,0.945405781269074,0.080994196236134
ger_n,drop,1739,k r e d o,5,7,1,0.133903086185455,2.90073871612549
ger_n,drop,145,a n t e n n e,7,4,4,0.956661820411682,0.063919074833393
ger_n,drop,2668,p o i n t,5,7,7,0.647306501865387,0.627479016780853
ger_n,drop,3787,w i e s e l,6,1,1,0.850973725318909,0.232813596725464
ger_n,drop,3270,s p h i n x,6,0,4,0.003476888407022,8.16798782348633
ger_n,drop,732,f e i n d,5,1,1,0.732564151287079,0.448973089456558
ger_n,drop,3859,z e l l e,5,4,4,0.976177215576172,0.034785211086273
ger_n,drop,1324,j u g e n d,6,3,4,0.170835763216019,2.54931783676147
ger_n,drop,1469,k a s t e n,6,6,4,0.004338470287621,7.84859800338745
ger_n,drop,2143,m e r k,4,1,1,0.534375071525574,0.904075264930725
ger_n,drop,202,a e s c h e r,7,1,1,0.496835052967072,1.00916111469269
ger_n,drop,1350,k a c h e l,6,4,4,0.898847043514252,0.153852239251137
ger_n,drop,936,g e s c h l e c h t,10,15,1,0.114581167697907,3.1255578994751
ger_n,drop,1899,l e x e m,5,1,1,0.478011518716812,1.06488251686096
ger_n,drop,591,d r e c k,5,8,8,0.541442632675171,0.885119736194611
